ID,Name,Barcode,Purchase Price
559,بانتوبي 20مجم اقراص,6223004600265,63.92
548,بانتوبي 40مجم,6223004600272,65.28
746,بانتوجار كبسول,6223003573843,188.02
392,بانتولوك 40مجم,6221508017114,67.32
403,بانتولوك20مجم,6221508017015,34.16
695,بانثينول 15جم كريم,6221077074815,20.43
697,بانثينول 20جم كريم,6221077071517,27.73
696,بانثينول 30جم كريم نوفكس,769503325866,24.08
412,بانثينول سبيكترا كريم شعر,6224009555116,38.08
15,باندولين كريم عادي,6624000181077,70.0
553,باوريكتا 20مجم اقراص,6223004517914,28.24
370,باي كيتوجيست150مجم,6221094502926,51.3
368,باي-الكوفان150مجم,6222010611234,55.89
391,باي-بروفينيد 150مجم,6223003990350,36.18
549,ببتك كير 500مجم/500مجم/20مجم اقراص,6224001514296,165.6
407,بترو اقراص,6224000875145,52.44
1315,بدي اسبلاش ايفا ازرق,6223001380955,167.8
1314,بدي اسبلاش ايفا بني,6223001380894,167.8
1313,بدي اسبلاش ايفا بينك,6223001380924,167.8
1562,بديالايت محلول جفاف,5099864013245,52.01
25,بديل زيت الو ايفا,6223004371608,75.0
551,برادوزين0.5مجم اقراص استحلاب,6222012400331,22.4
367,برافوتين 14 كيس,6225000177833,133.2
1284,برفان نيفرداي كبير,6225000400030,50.0
1410,برفكتوديل % 5محلول  موضعي,6223003930325,64.02
396,بركسين اقراص,6221077015115,19.38
393,برناسورس 15جرام,6223002144082,77.0
1361,برو ايفو 120ملل,6774444300036,45.24
564,بروباميثون كريم 20جم,6223003930776,20.4
369,بروتوفكس20مجم,6223003974206,55.8
382,بروتوفكس40مجم,6223003974213,77.72
552,بروتولوك 20مجم اقراص,6224007738023,44.88
555,بروتولوك 40مجم اقراص,6224007738269,55.76
395,بروجيست 100مجم,6223000013571,88.0
379,بروجيست 200مجم,6221151004202,196.8
371,بروفين 200مجم,8002660038234,35.4
262,بروفين شراب,8002660039354,34.76
372,بروفين400مجم,8002660038265,53.82
374,بروفين600مجم,8002660037688,66.33
373,بروكاسوفت1مجم,6223003572013,83.78
398,بروكاسوفت2مجم,6223003575359,83.87
408,بروكسيمول اقراص 0.4,6221068010136,20.4
415,بروكسيمول فوار,6221068201893,32.76
1521,برونتو جيست 100 مجم حقن,6223003570439,182.4
376,برونتوجيست 200مجم,6223003570460,140.16
377,برونتوجيست 400مجم,6223003579890,271.56
417,برونشيكم شراب,6223003990374,46.23
405,برونكو برو نقط 30مجم,6221088030275,14.43
389,برونكوبرو ريتارد كبسول,6221088020887,10.64
418,برونكوبرو شراب,6221088030374,22.05
387,بريدوكايين 30جرام,6223002144891,38.5
852,بريزولين قطره للعين,6221068503133,16.1
561,بريستافلام 100مجم اقراص,6224001007071,73.44
1627,بريستو اقراص,6223006930018,123.3
563,بريمبران 10مجم اقراص,6223003991128,7.88
1651,بريمونيدين قطره للعين,4315185485467,62.56
554,بريميران امبول,6223003991067,45.0
514,بسكوبان عادي اقراص 10مجم,6223003992262,26.25
528,بكتيكلور 125مجم,6224009052141,56.21
263,بكتيكلور250جم,6224009052158,107.44
1508,بلادوجرا 25 مجم اقراص,6223003206956,149.7
113,بلاستر 5سم,6224000132316,32.5
543,بلاستيجيك 20مجم,6224008407997,34.96
375,بلافيكارد75مجم,6224007326596,79.56
394,بلافيكس 75مجم,3664798036558,236.36
1037,بلسم اسكاي لتر,6224000566074,60.0
1038,بلسم اسكاي لتر,6224000566012,60.0
1066,بلسم بلو لاين لتر للشعر التالف,6224010162211,58.5
1067,بلسم بلو لين بالافوكادو لتر,6224010162198,58.5
416,بلسم شراب كبار,6221051040072,60.0
1058,بلسم منعم للشعر بزبده الشيا 500 م,6224009609055,42.62
12,بلسم مينك,6222014510427,53.0
562,بلميكورت 0.25 فيال,5000456010870,473.76
942,بلميكورت 0.5 مجم,4565985629568,631.68
1270,بلوب واكس ابيض 170ملل,6223003501259,32.75
1271,بلوب واكس اصفر 170ملل,6223003500030,32.75
556,بلوكاتنس 5/160مجم,6223012330017,102.0
550,بلوكاتنس 5/80مجم,6223012330031,82.96
383,بلوكيوم ديو اتينولول100مجم,6221508012812,18.75
11,بلولاين شامبو ثوم,6224000412142,55.0
1009,بلولين شاور 1000مل,6224000412081,59.5
401,بليتال 100مجم,6222014003523,105.12
399,بليتال50مجم,6222014003516,70.84
1437,بليجيكا قطره للعين,6224007321201,21.6
422,بنتافلو شراب,6224007738030,25.84
421,بنتاكولد شراب,6224007738047,25.6
413,بنتامكس شراب,6225000005464,33.81
1514,بنداكس 200مجم اقراص,6221051010044,17.48
414,بنداكس شراب,6221051110195,56.16
1467,بندولين شاور جيل 300 مل سويت عادي,6223011112980,120.0
1468,بندولين شاور جيل 300 مل فريش ليمون,6223011112997,120.0
1275,بندولين كريم بزبدة الشيا,6624000181053,100.5
1473,بندولين لوشن 200 مل,6223011110481,117.0
1033,بوبانا قناع الذهب,6222019601939,49.5
1032,بوبانا قناع الفحم,6222019601946,49.5
1216,بودره ايفا قدم,6223001384137,32.0
1214,بودره تنظيف الاسنان بالمسواك,6223004370274,34.65
1215,بودره تننظيف الاسنان بالقرنفل,6223001380542,34.65
1415,بودره سلفا للجروح,4225873019975,6.6
525,بوديكسان0.5مل,6224001616020,318.4
512,بورجازون كريم 20جم,6223002570133,25.2
404,بوسبار10جم اقراص,6224001007088,37.63
400,بولي فريش قطره,6224000219369,49.14
402,بوليدرم كريم,6221075220108,14.7
1622,بون كير 1مجم اقراص,6224007326107,93.85
513,بون كير0.5ك,6224007326091,94.17
610,بي كوم امبول,6221025024015,38.4
721,بي كي-ميرز 100مجم-اقراص,6223003571436,52.65
411,بي-فريش مضمضه احمر,6221094501264,18.36
409,بي-فريش مضمضه اخضر,6221094501271,18.63
410,بي-فريش مضمضه ازرق,6221094501288,18.36
511,بيبتون شراب خالي,6223004160059,27.3
510,بيبتون شراب عادي,6223004160042,27.3
397,بيبرا اقراص,6223002146703,100.42
1364,بيبزول 20مجم,6221000001000,32.43
378,بيبزول 40مجم,6221000001017,57.51
1406,بيبون بلس اقراص,6223002211685,72.0
99,بيبي جوي 1,6223004795763,245.0
981,بيبي جوي 1,6223004791437,250.0
104,بيبي جوي 2,6223004791444,245.0
102,بيبي جوي 3,6223004791451,295.0
980,بيبي جوي 4,6223004791468,295.0
103,بيبي جوي 5,6223004791475,335.0
1443,بيبيلاك 1,3041091764997,279.0
1442,بيبيلاك 2,3041091765017,275.9
287,بيتادريم كريم,6221032241108,13.32
1202,بيتاديرم كريم 1مجم صغير,6221032241115,12.78
895,بيتادين  دش,6221077080816,64.0
