id,name,box_qty_available,box_price,box_purchase_price,total_selling_value_box,total_cost_value_box
1963,مافيلور 10مجم اقراص,2,159.00,117.30,318.00,234.60
2064,مافيلور 5مجم اقراص,1,105.00,78.05,105.00,78.05
1581,مافيلور بلس 12.5/5مجم اقراص,1,108.00,81.00,108.00,81.00
1775,ماكروفيوران 100مجم اقراص,1,82.00,64.94,82.00,64.94
522,ماكروفيوران 50مجم,1,32.00,22.40,32.00,22.40
944,ماكس برو لوشن 120 ملل,1,54.00,41.80,54.00,41.80
2207,ماكسدينير 150مجم /5م شراب,2,70.00,46.58,140.00,93.16
1182,ماكسدينير 250 مجم شراب,2,92.00,67.64,184.00,135.28
1523,ماكسيتارد 100وحده عادي,3,130.00,118.30,390.00,354.90
945,ماكسيكان دشراب,1,48.00,33.60,48.00,33.60
516,ماكسيلاز شراب,4,57.00,37.62,228.00,150.48
1331,ماكينه جيليت حريمى,0,90.00,77.00,0.00,0.00
1328,ماكينه حلاقه دوركو ازرق,2,17.00,12.65,34.00,25.30
1329,ماكينه حلاقه دوركو اصفر,0,80.00,66.75,0.00,0.00
915,مالتى بد مكمل غذائى,1,55.00,41.80,55.00,41.80
185,مالتى ريلاكس 10مجم,1,42.00,31.50,42.00,31.50
168,مالتى ريلاكس 5جرام,1,36.00,27.00,36.00,27.00
856,مالوكس اكياس,0,120.00,97.20,0.00,0.00
1534,مالوكس بلس شراب,2,76.00,60.00,152.00,120.00
181,مامي ميلك اقراص,1,99.00,63.36,99.00,63.36
1843,ماي سويت بيبي شراب,2,50.00,37.05,100.00,74.10
1432,ماي كيدز شامبو,1,100.00,80.00,100.00,80.00
1433,مايكيدز لوشن,1,75.00,59.25,75.00,59.25
179,مبروسين ساجا 20 جرام مرهم موضعي,1,83.00,62.25,83.00,62.25
176,متروهيلر قرص بخاخ,1,172.00,129.00,172.00,129.00
2290,محلول جلوكوز%5,2,27.00,19.74,54.00,39.48
1403,محلول رنجر عادي,7,24.00,17.24,168.00,120.68
1405,محلول ملح %9,10,24.00,16.32,240.00,163.20
2099,مخمريه العود الملكى بالعود,1,30.00,25.89,30.00,25.89
1892,مخمريه العود الملكي,1,32.00,24.75,32.00,24.75
34,مرطب شفايف لونا,35,20.00,12.50,700.00,437.50
1421,مرهم راسب ابيض,5,10.00,6.00,50.00,30.00
1425,مزيل عرق ايمبر وبرايف ابيض,1,125.00,95.00,125.00,95.00
1320,مزيل عرق رجالي XL,1,120.00,89.65,120.00,89.65
1279,مزيل عرق ستارفيل ابيض,1,130.00,95.75,130.00,95.75
1280,مزيل عرق ستارفيل بني,1,130.00,95.75,130.00,95.75
1278,مزيل عرق ستارفيل بينك,1,130.00,95.75,130.00,95.75
1662,مس ازرق اسبراي,2,15.00,8.85,30.00,17.70
2299,مس ازرق اسبراي,1,15.00,8.85,15.00,8.85
1413,مس جنتيانا اسبراي للجروح,1,20.00,13.25,20.00,13.25
1420,مس كستلاني,1,10.00,7.25,10.00,7.25
1135,معجون اسنان دابر مسواك صغير اغضر,3,23.00,16.00,69.00,48.00
1133,معجون اسنان دابر مسواك كبير اغضر,1,39.00,32.50,39.00,32.50
1134,معجون اسنان دابر مسواك كبير اغضر,2,39.00,32.50,78.00,65.00
1018,معجون اطفال فلورو اللبان,1,30.00,21.50,30.00,21.50
1019,معجون اطفال فلورو كولا,1,30.00,21.50,30.00,21.50
1006,معجون سيجنال 120 مل,3,57.00,47.30,171.00,141.90
52,معجون سيجنال كبير,1,80.00,50.00,80.00,50.00
1004,معجون سيجنال مبيض 50 مل,1,33.75,28.50,33.75,28.50
47,معجون سينسوداين كبير,1,105.00,85.00,105.00,85.00
48,معجون سينسوداين وسط,1,70.00,57.50,70.00,57.50
1020,معجون كلوس اب 25 مل,1,19.00,15.00,19.00,15.00
49,معجون كلوس اب كبير,1,55.00,42.50,55.00,42.50
50,معجون كلوس اب كبير,1,55.00,42.50,55.00,42.50
1121,معطر جو فريده ارابيسك 460ملل,1,70.00,52.25,70.00,52.25
1118,معطر جو فريده بهجه 460ملل,1,70.00,52.25,70.00,52.25
1119,معطر جو فريده عود 460ملل,2,70.00,52.25,140.00,104.50
1120,معطر جو فريده كنزي 460ملل,2,70.00,52.25,140.00,104.50
1412,ملح انجليزي اكياس,6,10.00,6.05,60.00,36.30
998,مناديل  مبللة بيبي كير,2,15.00,10.00,30.00,20.00
41,مناديل زينه,2,30.00,23.50,60.00,47.00
987,مناديل وايت,7,30.00,24.00,210.00,168.00
1948,منك حمام كريم 400 افوكادو,1,60.00,50.00,60.00,50.00
1537,منك حمام كريم 800ملل  توم روزماري موف,1,100.00,85.00,100.00,85.00
2303,موبيتيل 15جم اقراص,1,36.00,25.00,36.00,25.00
503,موبيتيل حقن/المهن,1,39.00,23.40,39.00,23.40
2233,موتيليوم اقراص,1,100.00,74.70,100.00,74.70
1586,موتينورم شراب,2,31.00,23.83,62.00,47.66
2161,مودابكس 50مجم اقراص,1,111.00,81.80,111.00,81.80
2135,مور قطن ازاله مكياج,1,40.00,33.00,40.00,33.00
972,موزابرايد 5مجم,0,132.00,92.40,0.00,0.00
2231,موسكو كريم,1,95.00,68.68,95.00,68.68
495,موفكسير 500/50مجم اقراص,2,78.00,57.72,156.00,115.44
494,موفلوكس 400مجم,1,184.00,128.80,184.00,128.80
1834,موفيجيت 50 مجم اقراص,1,60.00,39.00,60.00,39.00
505,موفيزي 5مجم,0,60.00,43.80,0.00,0.00
173,موكسن 15 مجم قرص,1,46.00,30.36,46.00,30.36
578,موكسيفلوكس 400 مجم اقراص,1,180.00,128.80,180.00,128.80
1911,موكسيفلوكس 5مجم قطره,1,33.00,23.62,33.00,23.62
2265,مولبد دبل طويل جدا,2,55.00,40.00,110.00,80.00
999,مولبد س طويل جدا,1,32.00,25.00,32.00,25.00
36,مولبد طويل,2,50.00,40.00,100.00,80.00
2136,مولبد ماكس طويل,3,33.00,27.00,99.00,81.00
982,مولفيكس 1,1,300.00,265.00,300.00,265.00
100,مولفيكس 2,0,300.00,260.00,0.00,0.00
101,مولفيكس 3,0,340.00,300.00,0.00,0.00
105,مولفيكس 4,2,340.00,300.00,680.00,600.00
978,مولفيكس 4,1,450.00,410.00,450.00,410.00
979,مولفيكس 5 عبوة كبيرة,0,455.00,415.00,0.00,0.00
983,مولفيكس 6,0,360.00,330.00,0.00,0.00
2173,مولفيكس 6 بريميوم,0,368.00,315.00,0.00,0.00
1896,مولفيكس رقم 5,1,400.00,359.00,400.00,359.00
1887,مومينتا كريم موضعي,2,55.00,43.89,110.00,87.78
580,مونو ماك 40مجم,1,43.00,32.25,43.00,32.25
567,مونو ماك ديبو اقراص,1,48.00,36.00,48.00,36.00
571,مونوماك 20مجم,1,28.00,21.28,28.00,21.28
733,مونيكيور 400مجم لبوس,3,24.00,15.60,72.00,46.80
570,موهير لسيون سبراي,1,175.00,140.00,175.00,140.00
487,مووف مساج كريم,2,23.00,14.93,46.00,29.86
565,مويست1 مرطب,1,180.00,131.40,180.00,131.40
170,ميبافاج ممتد المفعول 1000 مجم,2,52.50,36.75,105.00,73.50
731,ميبافيوران 100مجم,2,54.00,35.10,108.00,70.20
498,ميباكوفنت شراب,1,16.50,12.37,16.50,12.37
2258,ميبو 30 جم كريم,1,190.00,160.00,190.00,160.00
920,ميبو كريم,2,109.00,94.83,218.00,189.66
172,ميبيفاك ممتد المفعول قرص200مجم,1,99.00,72.27,99.00,72.27
1507,ميتابسين اقراص,1,110.00,80.96,110.00,80.96
1657,ميتفيلدازون50/1000مجم اقراص,1,150.00,117.00,150.00,117.00
813,ميثايلتكنو 30فيلم,1,135.00,105.30,135.00,105.30
1575,ميثرجين 0.125 مجم اقراص,2,15.00,11.13,30.00,22.26
184,ميجافين ان شراب,2,35.00,25.55,70.00,51.10
174,ميجافين قرص مسكن وخافض للحراره,1,60.00,37.20,60.00,37.20
1829,ميجاليز مانجو شراب,2,31.00,24.24,62.00,48.48
504,ميجاليز مضاد للالتهابات,1,72.00,48.24,72.00,48.24
906,ميجاموكس 1مجم اقراص,2,178.00,69.42,356.00,138.84
2154,ميجاموكس 228مجم شراب,1,70.00,53.76,70.00,53.76
903,ميجاموكس 457 جرام شراب,1,100.00,80.00,100.00,80.00
905,ميجاموكس 625 ملجم اقراص,1,143.00,111.50,143.00,111.50
2153,ميجاموكس 642.9شراب,1,107.00,85.60,107.00,85.60
285,ميدودرين 2.5,2,50.00,33.50,100.00,67.00
568,ميدودرين نقط  10ملليلتر,1,67.00,53.60,67.00,53.60
2270,ميرفيناسين 5/25مجم اقراص,1,277.50,201.46,277.50,201.46
165,ميكاسين 250 جرام اسبراي,3,53.00,38.16,159.00,114.48
1656,ميكروسيرك 24مجم اقراص,1,62.00,45.26,62.00,45.26
573,ميكسدرم كريم صغير,2,24.00,16.80,48.00,33.60
1180,ميكسورا اقراص,1,120.00,96.00,120.00,96.00
1183,ميكليزيجو25مجم  للغثيان,0,90.00,70.20,0.00,0.00
2086,ميكوجيل شراب,4,37.00,27.74,148.00,110.96
728,ميكوناز اورال جيل للفم,3,23.00,14.95,69.00,44.85
569,ميكوناز كريم,1,15.00,11.40,15.00,11.40
1612,ميلاكريست  3مجم لازقه للفم,1,90.00,51.22,90.00,51.22
1613,ميلاكريست 1.5مجم لازقه للفم,1,80.00,45.53,80.00,45.53
167,ميلانثينول جل مرطب,1,60.00,39.60,60.00,39.60
1836,ميلانثينول كريم,1,60.00,39.00,60.00,39.00
1486,ميلجا ادفانس اقراص,2,150.00,115.00,300.00,230.00
169,ميلجا اقراص,1,108.00,77.76,108.00,77.76
1652,ميلوكين %4 كريم,2,60.00,42.00,120.00,84.00
859,ميمونتكس اقراص,1,440.00,330.00,440.00,330.00
1759,مينا لاكس اقراص,3,18.00,12.43,54.00,37.29
82,مينك هير واكس,1,50.00,35.00,50.00,35.00
1931,مينك هير واكس كريم 100مل,1,35.00,22.50,35.00,22.50
1404,مينوكسيديل فورت % 5جيل موضغي,1,127.00,86.36,127.00,86.36
180,ميوفين اقراص,0,54.00,34.56,0.00,0.00
836,ميوكو 75مجم اقراص,3,64.00,55.40,192.00,166.20
177,ميوكو شراب 100,3,35.00,27.30,105.00,81.90
496,ميوكوبريف 600مجم,1,75.00,54.75,75.00,54.75
183,ميوكوبكت شراب,2,33.00,23.10,66.00,46.20
171,ميوكوتك 300 مجم اقراص,2,144.00,108.00,288.00,216.00
144,ميوكوستا لعلاج التهاب وقرحه المعده,1,114.00,85.50,114.00,85.50
182,ميوكوسول 125مجم/5مللي شراب,3,23.00,16.56,69.00,49.68
