id,name,box_qty,strip_qty,box_purchase,strip_purchase,cost_box,cost_strip,cost_total
1185,الفاكالسيدول نقط فم,1,1,63.14,63.14,63.14,63.14,126.28
1655,الفيرينسبازم اقراص,2,4,49.58,24.79,99.16,99.16,198.32
328,الفينترن اقراص,2,6,57.42,19.14,114.84,114.84,229.68
2318,الكا مصر اكياس,1,12,31.30,2.61,31.30,31.30,62.60
1116,الكابراس تريو 5/ 160/25 مجم اقراص,1,2,80.30,40.15,80.30,80.30,160.60
160,الكابرايد 50 جرام قرص,1,5,59.40,19.80,59.40,99.00,158.40
1117,الكابرس بلس 10/160 مجم,1,2,76.50,38.25,76.50,76.50,153.00
307,الكابرس تريو 160/5 12.50,1,2,70.81,35.40,70.81,70.81,141.62
308,الكابرس5مجم,1,3,44.66,22.33,44.66,66.99,111.65
327,الليربان ممتد المفعول 2مجم,1,2,28.12,14.06,28.12,28.12,56.24
158,الليربان1 مجم\ 5مللى شراب,3,2,24.90,24.90,74.70,49.80,124.50
1650,الليرجيل مضاد للحساسيه شراب,2,2,18.27,18.27,36.54,36.54,73.08
153,الوكتيا اسبراى للشعر,1,1,244.12,244.12,244.12,244.12,488.24
154,الوكيتا شامبو,1,1,135.32,135.32,135.32,135.32,270.64
155,الوكيتا شامبو دي اس,1,1,155.72,155.72,155.72,155.72,311.44
166,الوندا 0.5جرام اقراص,1,1,93.75,93.75,93.75,93.75,187.50
989,الويز  جامبو طويل,1,0,66.00,66.00,66.00,0.00,66.00
990,الويز جامبو طويل جدا,1,1,66.00,66.00,66.00,66.00,132.00
991,الويز جامبو طويل جدا,0,0,66.00,66.00,0.00,0.00,0.00
992,الويز دبل,0,0,46.00,46.00,0.00,0.00,0.00
993,الويز دبل,0,0,45.00,45.00,0.00,0.00,0.00
1748,اليرتام 120مجم اقراص,1,1,16.26,16.26,16.26,16.26,32.52
319,اليريد10مجم,1,3,66.96,22.32,66.96,66.96,133.92
870,اليكا -ام كريم,1,0,37.96,37.96,37.96,0.00,37.96
2295,اليكاسال كريم,1,1,36.00,36.00,36.00,36.00,72.00
2344,اليكسولايت مكمل غذائي,0,0,39.54,39.54,0.00,0.00,0.00
1583,اليمبوسيس5مجم اقراص,1,3,199.43,66.48,199.43,199.43,398.86
1644,اماجلوست 30/4مجم اقراص,1,3,78.97,26.32,78.97,78.97,157.94
314,اماريل ام اقراص,2,4,74.46,24.82,148.92,99.28,248.20
313,اماريل1مجم,1,3,29.60,9.87,29.60,29.60,59.20
311,اماريل2مجم,1,3,57.72,19.24,57.72,57.72,115.44
310,اماريل3مجم,1,3,62.64,20.88,62.64,62.64,125.28
312,اماريل4مجم,1,3,57.72,19.24,57.72,57.72,115.44
441,امبروكسول نقط,2,2,12.00,12.00,24.00,24.00,48.00
163,امبيزيم اقراص,0,2,71.40,23.80,0.00,47.60,47.60
1360,امريزول 0.5% محلول وريدي,2,2,31.28,31.28,62.56,62.56,125.12
365,امريزول 500 اقراص,0,1,16.75,8.38,0.00,8.38,8.38
156,امريزول شرب 125 جرام \5مللى,2,2,23.25,23.25,46.50,46.50,93.00
832,امريزول ن 500مجم اقماع,1,1,24.90,24.90,24.90,24.90,49.80
14,املا كريم,1,1,65.00,65.00,65.00,65.00,130.00
1276,املاح باديكير افونا,2,2,16.50,16.50,33.00,33.00,66.00
1163,امواس دوركو,19,19,11.00,11.00,209.00,209.00,418.00
2112,اموسريبرال بلس اقراص,1,3,22.50,7.50,22.50,22.50,45.00
2164,اميبابين اقراص,1,1,47.90,47.90,47.90,47.90,95.80
2210,اميبروستون 8مجم اقراص,0,1,64.97,32.48,0.00,32.48,32.48
2053,اميبريد 50مجم اقراص,0,2,76.59,25.53,0.00,51.06,51.06
878,اميجران ادكو اقراص,1,3,74.40,24.80,74.40,74.40,148.80
1490,اميجراويست2.5مجم اقراص,1,1,39.20,39.20,39.20,39.20,78.40
839,اميكاسين 500مجم حقن,3,3,28.56,28.56,85.68,85.68,171.36
2131,امينورينوكير اقراص,0,0,672.30,67.23,0.00,0.00,0.00
159,اميولانت ان شراب,2,2,37.50,37.50,75.00,75.00,150.00
164,اميولانت بلس اقراص,2,4,35.10,17.55,70.20,70.20,140.40
1924,اميولانت كبسول,2,4,33.75,16.88,67.50,67.50,135.00
239,ان بي بانثينول كريم 50جم,0,0,16.50,16.50,0.00,0.00,0.00
1220,انافرونيل 25 مجم اقراص,1,4,48.45,16.15,48.45,64.60,113.05
1925,انافرونيل ممتد المفعول 75 مجم اقراص,1,2,79.50,39.75,79.50,79.50,159.00
1730,اناللرج 4مجم اقراص,0,2,21.30,7.10,0.00,14.20,14.20
1190,انتوبرال 20مجم اقراص,1,2,59.84,29.92,59.84,59.84,119.68
1191,انتوبرال 40مجم اقراص,0,1,85.68,42.84,0.00,42.84,42.84
205,انتودين 20 جرام اقراص,1,5,44.05,14.68,44.05,73.42,117.47
594,انتودين 40مجم,2,8,68.27,22.76,136.54,182.05,318.59
1218,انتودين امبول,0,1,62.40,10.40,0.00,10.40,10.40
1709,انتوكس اقراص,1,3,46.80,15.60,46.80,46.80,93.60
208,انتيفلام يو بي فارما 25 جرام اقراص,1,2,11.93,5.96,11.93,11.93,23.86
202,انتيفلام يو بي فارما 50 جرام اقراص,0,1,32.30,16.15,0.00,16.15,16.15
206,انتيكوكس 15 جرام حقن,1,8,57.00,9.50,57.00,76.00,133.00
148,انتيكوكس15 جرام,1,3,77.70,25.90,77.70,77.70,155.40
193,انتينال اقراص,2,4,38.17,19.08,76.34,76.34,152.68
889,انتينال شراب,2,2,17.62,17.62,35.24,35.24,70.48
2032,انجرام كريم حلاقة,1,1,40.00,40.00,40.00,40.00,80.00
515,انجكتمول 100مل محلول وريدي,3,3,48.91,48.91,146.73,146.73,293.46
1159,انجى كريم تفتيح 100مجم,0,0,18.00,18.00,0.00,0.00,0.00
2033,انجي كريم تفتيح صغير,1,1,12.25,12.25,12.25,12.25,24.50
846,اندرال 10 جرام اقراص,0,0,55.00,11.00,0.00,0.00,0.00
198,اندرال 40جرام اقراص,1,5,73.41,14.68,73.41,73.41,146.82
1370,اندوبينتين 300مجم اقراص,0,0,94.50,47.25,0.00,0.00,0.00
1636,اندوبينتين 300مجم اقراص,2,5,94.50,31.50,189.00,157.50,346.50
150,اندوريستات 80 مجم اقراص,1,2,56.00,28.00,56.00,56.00,112.00
1805,اندوفيت ايرون بلس شراب,1,1,87.96,87.96,87.96,87.96,175.92
