تقرير أسعار المنتجات - Products Price Report

تاريخ التقرير - Report Date: 2026-05-09 23:53:08

اسم المنتج,Product Name,سعر الشراء,Purchase Price,سعر البيع,Selling Price,الكمية,Stock Qty,إجمالي الشراء,Total Purchase,إجمالي البيع,Total Selling,الربح الإجمالي,Total Profit,نسبة الربح %,Profit Margin %
شاش المحله 11 سم,شاش المحله 11 سم,3.80,3.80,6.00,6.00,7,7,26.60,26.60,42.00,42.00,15.40,15.40,57.9,57.9
شاش المحله 5 سم,شاش المحله 5 سم,2.25,2.25,5.00,5.00,37,37,83.25,83.25,185.00,185.00,101.75,101.75,122.2,122.2
شاش المحله 7 سم,شاش المحله 7 سم,2.75,2.75,5.00,5.00,15,15,41.25,41.25,75.00,75.00,33.75,33.75,81.8,81.8
شاش دريسنج 10*10,شاش دريسنج 10*10,2.20,2.20,5.00,5.00,5,5,11.00,11.00,25.00,25.00,14.00,14.00,127.3,127.3
شاش دريسنج 10*20,شاش دريسنج 10*20,2.75,2.75,6.00,6.00,3,3,8.25,8.25,18.00,18.00,9.75,9.75,118.2,118.2
شاش دريسنج 15*25,شاش دريسنج 15*25,4.50,4.50,8.00,8.00,7,7,31.50,31.50,56.00,56.00,24.50,24.50,77.8,77.8
شاش فازلين 10 فى 10,شاش فازلين 10 فى 10,4.99,4.99,9.00,9.00,3,3,14.97,14.97,27.00,27.00,12.03,12.03,80.4,80.4
شاش فازلين 10فى 20سم,شاش فازلين 10فى 20سم,8.00,8.00,12.00,12.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,50.0,50.0
شاش فازلين 10فى 30سم,شاش فازلين 10فى 30سم,10.30,10.30,15.00,15.00,9,9,92.70,92.70,135.00,135.00,42.30,42.30,45.6,45.6
شامبو اسكاي لتر,شامبو اسكاي لتر,62.70,62.70,82.95,82.95,0,0,0.00,0.00,0.00,0.00,0.00,0.00,32.3,32.3
شامبو اسكاي لتر,شامبو اسكاي لتر,62.70,62.70,82.95,82.95,1,1,62.70,62.70,82.95,82.95,20.25,20.25,32.3,32.3
شامبو اسكاي لتر سلفات منخفض,شامبو اسكاي لتر سلفات منخفض,62.70,62.70,82.95,82.95,0,0,0.00,0.00,0.00,0.00,0.00,0.00,32.3,32.3
شامبو البصل والخروع,شامبو البصل والخروع,53.35,53.35,65.00,65.00,1,1,53.35,53.35,65.00,65.00,11.65,11.65,21.8,21.8
شامبو الفيف هالورين 600ملل,شامبو الفيف هالورين 600ملل,129.58,129.58,155.00,155.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,19.6,19.6
شامبو الفيف هالورين 600ملل,شامبو الفيف هالورين 600ملل,129.85,129.85,155.00,155.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,19.4,19.4
شامبو بانتين 400 م للتساقط,شامبو بانتين 400 م للتساقط,140.00,140.00,175.00,175.00,1,1,140.00,140.00,175.00,175.00,35.00,35.00,25.0,25.0
شامبو بانتين 600 م,شامبو بانتين 600 م,180.00,180.00,220.00,220.00,1,1,180.00,180.00,220.00,220.00,40.00,40.00,22.2,22.2
شامبو بلولاين بالنخاع لتر,شامبو بلولاين بالنخاع لتر,58.50,58.50,75.00,75.00,2,2,117.00,117.00,150.00,150.00,33.00,33.00,28.2,28.2
شامبو بندولين 250 م,شامبو بندولين 250 م,138.60,138.60,165.00,165.00,1,1,138.60,138.60,165.00,165.00,26.40,26.40,19.0,19.0
شامبو بندولين 450 م,شامبو بندولين 450 م,179.20,179.20,215.00,215.00,1,1,179.20,179.20,215.00,215.00,35.80,35.80,20.0,20.0
شامبو جونسون 200 مل,شامبو جونسون 200 مل,70.00,70.00,90.00,90.00,1,1,70.00,70.00,90.00,90.00,20.00,20.00,28.6,28.6
شامبو جونسون صغير 100مل,شامبو جونسون صغير 100مل,42.50,42.50,55.00,55.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,29.4,29.4
شامبو دوف  180 ملي,شامبو دوف  180 ملي,63.00,63.00,75.00,75.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,19.0,19.0
شامبو دوف 180,شامبو دوف 180,63.00,63.00,75.00,75.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,19.0,19.0
شامبو دوف 180 ملي,شامبو دوف 180 ملي,63.00,63.00,75.00,75.00,1,1,63.00,63.00,75.00,75.00,12.00,12.00,19.0,19.0
شامبو دوف الاصلاح المكثف,شامبو دوف الاصلاح المكثف,105.00,105.00,120.00,120.00,1,1,105.00,105.00,120.00,120.00,15.00,15.00,14.3,14.3
شامبو دوف ضد تساقط الشعر,شامبو دوف ضد تساقط الشعر,105.00,105.00,120.00,120.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,14.3,14.3
شامبو سباركل اخضر 350 مل,شامبو سباركل اخضر 350 مل,45.27,45.27,55.00,55.00,1,1,45.27,45.27,55.00,55.00,9.73,9.73,21.5,21.5
شامبو سباركل اكياس,شامبو سباركل اكياس,0.85,0.85,1.00,1.00,50,50,42.50,42.50,50.00,50.00,7.50,7.50,17.6,17.6
شامبو صانسيلك 180 مل اسود,شامبو صانسيلك 180 مل اسود,55.00,55.00,70.00,70.00,1,1,55.00,55.00,70.00,70.00,15.00,15.00,27.3,27.3
شامبو صن سيلك 350,شامبو صن سيلك 350,68.00,68.00,87.00,87.00,1,1,68.00,68.00,87.00,87.00,19.00,19.00,27.9,27.9
شامبو صن سيلك 350 ملي,شامبو صن سيلك 350 ملي,68.00,68.00,80.00,80.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,17.6,17.6
شامبو صن سيلك 600 ملي,شامبو صن سيلك 600 ملي,98.00,98.00,135.00,135.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,37.8,37.8
شامبو فاتيكا 180ملل,شامبو فاتيكا 180ملل,47.50,47.50,60.00,60.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,26.3,26.3
شامبو فاتيكا 350ملل,شامبو فاتيكا 350ملل,73.75,73.75,90.00,90.00,1,1,73.75,73.75,90.00,90.00,16.25,16.25,22.0,22.0
شامبو فاتيكا جرجير وزيتون 360ملل,شامبو فاتيكا جرجير وزيتون 360ملل,58.00,58.00,70.00,70.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,20.7,20.7
شامبو فاتيكا للشعر العادي 400 م,شامبو فاتيكا للشعر العادي 400 م,58.00,58.00,70.00,70.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,20.7,20.7
شامبو فاتيكا يحافظ علي الرطوبه,شامبو فاتيكا يحافظ علي الرطوبه,58.00,58.00,70.00,70.00,1,1,58.00,58.00,70.00,70.00,12.00,12.00,20.7,20.7
شامبو فتيكا للحمايه من تساقط الشعر,شامبو فتيكا للحمايه من تساقط الشعر,58.00,58.00,70.00,70.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,20.7,20.7
شامبو فيانسيه اليمون والالوفيرا,شامبو فيانسيه اليمون والالوفيرا,53.35,53.35,65.00,65.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,21.8,21.8
شامبو كلير حريمي 190ملل,شامبو كلير حريمي 190ملل,67.00,67.00,80.00,80.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,19.4,19.4
شامبو كلير حريمي 400ملل,شامبو كلير حريمي 400ملل,100.00,100.00,120.00,120.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,20.0,20.0
شامبو كلير رجالي,شامبو كلير رجالي,100.00,100.00,120.00,120.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,20.0,20.0
شامبو كلير رجالي 190ملل,شامبو كلير رجالي 190ملل,68.00,68.00,82.00,82.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,20.6,20.6
شامبو كليو باترا بزبده الشيا 500 م,شامبو كليو باترا بزبده الشيا 500 م,42.62,42.62,55.00,55.00,1,1,42.62,42.62,55.00,55.00,12.38,12.38,29.0,29.0
شامبو مارولينا للشعر لتر,شامبو مارولينا للشعر لتر,92.10,92.10,120.00,120.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,30.3,30.3
شامبو منك بزيت الزيتون,شامبو منك بزيت الزيتون,55.00,55.00,70.00,70.00,1,1,55.00,55.00,70.00,70.00,15.00,15.00,27.3,27.3
شامبو هيد اند شولدرز,شامبو هيد اند شولدرز,160.00,160.00,190.00,190.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,18.8,18.8
شامبو وبلسم دياموند لتر,شامبو وبلسم دياموند لتر,44.00,44.00,60.00,60.00,1,1,44.00,44.00,60.00,60.00,16.00,16.00,36.4,36.4
شامبو وبلسم سباركل,شامبو وبلسم سباركل,71.50,71.50,87.00,87.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,21.7,21.7
شامبو وبلسم سباركل,شامبو وبلسم سباركل,71.50,71.50,87.00,87.00,1,1,71.50,71.50,87.00,87.00,15.50,15.50,21.7,21.7
شامبو وبلسم سباركل,شامبو وبلسم سباركل,71.50,71.50,87.00,87.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,21.7,21.7
شامبو وبلسم سباركل,شامبو وبلسم سباركل,71.50,71.50,87.00,87.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,21.7,21.7
شان بادي ميلك لوشن,شان بادي ميلك لوشن,155.00,155.00,185.00,185.00,1,1,155.00,155.00,185.00,185.00,30.00,30.00,19.4,19.4
شان جل مرطب 60مل,شان جل مرطب 60مل,75.00,75.00,100.00,100.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,33.3,33.3
شان جيل مرطب 120,شان جيل مرطب 120,124.06,124.06,170.00,170.00,1,1,124.06,124.06,170.00,170.00,45.94,45.94,37.0,37.0
شان جيل مرطب 120مل,شان جيل مرطب 120مل,125.97,125.97,170.00,170.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,35.0,35.0
شان كريم مرطب 120مل,شان كريم مرطب 120مل,106.50,106.50,150.00,150.00,1,1,106.50,106.50,150.00,150.00,43.50,43.50,40.8,40.8
شاور جل رودى خوخ 2لتر,شاور جل رودى خوخ 2لتر,41.50,41.50,55.00,55.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,32.5,32.5
شاور جل رودى سهر الليالى 2لتر,شاور جل رودى سهر الليالى 2لتر,41.50,41.50,55.00,55.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,32.5,32.5
شاور دوش لتر,شاور دوش لتر,65.00,65.00,75.00,75.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,15.4,15.4
شاور فريده 650مل,شاور فريده 650مل,79.30,79.30,95.00,95.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,19.8,19.8
شاور مود 750مل,شاور مود 750مل,68.75,68.75,95.00,95.00,1,1,68.75,68.75,95.00,95.00,26.25,26.25,38.2,38.2
شاور مود احمر 750,شاور مود احمر 750,65.00,65.00,75.00,75.00,1,1,65.00,65.00,75.00,75.00,10.00,10.00,15.4,15.4
شاي اخضر بالنعناع ايزيس,شاي اخضر بالنعناع ايزيس,30.80,30.80,40.00,40.00,1,1,30.80,30.80,40.00,40.00,9.20,9.20,29.9,29.9
شاي اخضر بالنعناع ايزيس كبير,شاي اخضر بالنعناع ايزيس كبير,30.30,30.30,40.00,40.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,32.0,32.0
شاي رجيم رويال صغير,شاي رجيم رويال صغير,18.17,18.17,29.00,29.00,3,3,54.51,54.51,87.00,87.00,32.49,32.49,59.6,59.6
شاي رجيم رويال كبير,شاي رجيم رويال كبير,40.10,40.10,55.00,55.00,2,2,80.20,80.20,110.00,110.00,29.80,29.80,37.2,37.2
شرايط سكر,شرايط سكر,291.00,291.00,400.00,400.00,3,3,873.00,873.00,1200.00,1200.00,327.00,327.00,37.5,37.5
شفاط ثدي اليجو نيو,شفاط ثدي اليجو نيو,16.00,16.00,23.00,23.00,1,1,16.00,16.00,23.00,23.00,7.00,7.00,43.8,43.8
شفاط ثدي لاكي بيبي,شفاط ثدي لاكي بيبي,35.20,35.20,45.00,45.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,27.8,27.8
شفاط مخاط,شفاط مخاط,30.77,30.77,40.00,40.00,2,2,61.54,61.54,80.00,80.00,18.46,18.46,30.0,30.0
شفرات دوركو بلو 4شفرات,شفرات دوركو بلو 4شفرات,108.00,108.00,130.00,130.00,1,1,108.00,108.00,130.00,130.00,22.00,22.00,20.4,20.4
شفرات دوركو حريمى بينك,شفرات دوركو حريمى بينك,88.70,88.70,130.00,130.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,46.6,46.6
شفرات فلامينجو الاصلى,شفرات فلامينجو الاصلى,67.50,67.50,100.00,100.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,48.1,48.1
شفره فلامنجوو,شفره فلامنجوو,15.50,15.50,30.00,30.00,6,6,93.00,93.00,180.00,180.00,87.00,87.00,93.5,93.5
شكاكه سكر,شكاكه سكر,29.45,29.45,50.00,50.00,1,1,29.45,29.45,50.00,50.00,20.55,20.55,69.8,69.8
شمع جهاز كوكو اصفر,شمع جهاز كوكو اصفر,42.00,42.00,55.00,55.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,31.0,31.0
شوجارلو بلس 50/1000 مجم اقراص,شوجارلو بلس 50/1000 مجم اقراص,102.00,102.00,136.50,136.50,1,1,102.00,102.00,136.50,136.50,34.50,34.50,33.8,33.8
شوجارلو بلس 850/50مجم اقراص,شوجارلو بلس 850/50مجم اقراص,94.77,94.77,132.00,132.00,1,1,94.77,94.77,132.00,132.00,37.23,37.23,39.3,39.3
شوما كريم,شوما كريم,103.00,103.00,130.00,130.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,26.2,26.2
شيت ماسك ستاركي,شيت ماسك ستاركي,22.00,22.00,30.00,30.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,36.4,36.4
صابةنه ديتول بينك 85جم,صابةنه ديتول بينك 85جم,18.97,18.97,23.00,23.00,1,1,18.97,18.97,23.00,23.00,4.03,4.03,21.2,21.2
صابون انجليش ليزر,صابون انجليش ليزر,13.99,13.99,18.00,18.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,28.7,28.7
صابون انجليش ليزر 125  احمر,صابون انجليش ليزر 125  احمر,14.00,14.00,18.00,18.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,28.6,28.6
صابون انجليش ليزر 125 ازرق,صابون انجليش ليزر 125 ازرق,14.33,14.33,17.00,17.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,18.6,18.6
صابون جلسرين خمس خمسات,صابون جلسرين خمس خمسات,18.00,18.00,26.00,26.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,44.4,44.4
صابون خمس خمسات كبريت,صابون خمس خمسات كبريت,14.00,14.00,20.00,20.00,1,1,14.00,14.00,20.00,20.00,6.00,6.00,42.9,42.9
صابون دوف قالب كريم جمال,صابون دوف قالب كريم جمال,34.00,34.00,40.00,40.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,17.6,17.6
صابون دوف للبشره ناعمة الملمس,صابون دوف للبشره ناعمة الملمس,34.00,34.00,40.00,40.00,1,1,34.00,34.00,40.00,40.00,6.00,6.00,17.6,17.6
صابون ديتول 125جرام,صابون ديتول 125جرام,23.37,23.37,30.00,30.00,1,1,23.37,23.37,30.00,30.00,6.63,6.63,28.4,28.4
صابون ديتول 90جرام,صابون ديتول 90جرام,19.00,19.00,23.00,23.00,1,1,19.00,19.00,23.00,23.00,4.00,4.00,21.1,21.1
صابون ديتول 90جرام,صابون ديتول 90جرام,19.00,19.00,23.00,23.00,2,2,38.00,38.00,46.00,46.00,8.00,8.00,21.1,21.1
صابون ديتول كبيره,صابون ديتول كبيره,36.75,36.75,45.00,45.00,1,1,36.75,36.75,45.00,45.00,8.25,8.25,22.4,22.4
صابون ديتول مغذي 90جرام,صابون ديتول مغذي 90جرام,19.00,19.00,23.00,23.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,21.1,21.1
صابون فينتامور,صابون فينتامور,57.36,57.36,80.00,80.00,1,1,57.36,57.36,80.00,80.00,22.64,22.64,39.5,39.5
صابون لايف بوي 125,صابون لايف بوي 125,19.70,19.70,25.00,25.00,1,1,19.70,19.70,25.00,25.00,5.30,5.30,26.9,26.9
صابون مغربي بوبانا بزيت الزيتون,صابون مغربي بوبانا بزيت الزيتون,44.75,44.75,65.00,65.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,45.3,45.3
صابونة ديتول 115م ازرق كول,صابونة ديتول 115م ازرق كول,24.00,24.00,27.50,27.50,0,0,0.00,0.00,0.00,0.00,0.00,0.00,14.6,14.6
صابونه ديتول,صابونه ديتول,36.75,36.75,45.00,45.00,1,1,36.75,36.75,45.00,45.00,8.25,8.25,22.4,22.4
صابونه ديتول 115جم بينك,صابونه ديتول 115جم بينك,24.25,24.25,30.00,30.00,1,1,24.25,24.25,30.00,30.00,5.75,5.75,23.7,23.7
صابونه ديتول بينك 175 جرام,صابونه ديتول بينك 175 جرام,37.50,37.50,45.00,45.00,1,1,37.50,37.50,45.00,45.00,7.50,7.50,20.0,20.0
صابونه ستارفيل,صابونه ستارفيل,35.00,35.00,50.00,50.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,42.9,42.9
صابونه كبريت,صابونه كبريت,18.00,18.00,25.00,25.00,2,2,36.00,36.00,50.00,50.00,14.00,14.00,38.9,38.9
صبغه جاوي,صبغه جاوي,7.25,7.25,10.00,10.00,2,2,14.50,14.50,20.00,20.00,5.50,5.50,37.9,37.9
صبغه يود,صبغه يود,5.99,5.99,10.00,10.00,1,1,5.99,5.99,10.00,10.00,4.01,4.01,66.9,66.9
صن سويت بخلاصة الزليمون للبشره الدهنيه,صن سويت بخلاصة الزليمون للبشره الدهنيه,9.75,9.75,15.00,15.00,2,2,19.50,19.50,30.00,30.00,10.50,10.50,53.8,53.8
صن سويت بخلاصة الزيتون للبشره الجافه,صن سويت بخلاصة الزيتون للبشره الجافه,10.20,10.20,17.00,17.00,8,8,81.60,81.60,136.00,136.00,54.40,54.40,66.7,66.7
صن سويت بخلاصة الزيتون للبشره الجافه,صن سويت بخلاصة الزيتون للبشره الجافه,9.75,9.75,15.00,15.00,3,3,29.25,29.25,45.00,45.00,15.75,15.75,53.8,53.8
صن سويت بخلاصة العسل للبشره الحساسه,صن سويت بخلاصة العسل للبشره الحساسه,10.25,10.25,17.00,17.00,7,7,71.75,71.75,119.00,119.00,47.25,47.25,65.9,65.9
صنفره زيدورا لتفتيح البشره بالخيار,صنفره زيدورا لتفتيح البشره بالخيار,28.75,28.75,36.00,36.00,1,1,28.75,28.75,36.00,36.00,7.25,7.25,25.2,25.2
صوياميد كبسول,صوياميد كبسول,234.00,234.00,300.00,300.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,28.2,28.2
عضاضه سيلكون فيش,عضاضه سيلكون فيش,48.75,48.75,65.00,65.00,1,1,48.75,48.75,65.00,65.00,16.25,16.25,33.3,33.3
عضاضه عاديه لاكى بيبي,عضاضه عاديه لاكى بيبي,14.60,14.60,20.00,20.00,1,1,14.60,14.60,20.00,20.00,5.40,5.40,37.0,37.0
عضاضه مائيه لاكى بيبي,عضاضه مائيه لاكى بيبي,32.00,32.00,40.00,40.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,25.0,25.0
عضاضه مايه  الجو,عضاضه مايه  الجو,17.25,17.25,23.00,23.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,33.3,33.3
غرناطه كريم للشعر الارجان,غرناطه كريم للشعر الارجان,106.00,106.00,140.00,140.00,1,1,106.00,106.00,140.00,140.00,34.00,34.00,32.1,32.1
غرناطه كريم للشعر بذبدة شيا غانا,غرناطه كريم للشعر بذبدة شيا غانا,106.00,106.00,140.00,140.00,1,1,106.00,106.00,140.00,140.00,34.00,34.00,32.1,32.1
غسول ايفا مزيل للوجه 150مل,غسول ايفا مزيل للوجه 150مل,46.25,46.25,58.00,58.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,25.4,25.4
غسول بوبانا 50 م بالفحم,غسول بوبانا 50 م بالفحم,27.00,27.00,36.00,36.00,1,1,27.00,27.00,36.00,36.00,9.00,9.00,33.3,33.3
غسول بوبانا وجه بفيتامين سى 50مل,غسول بوبانا وجه بفيتامين سى 50مل,27.00,27.00,36.00,36.00,2,2,54.00,54.00,72.00,72.00,18.00,18.00,33.3,33.3
غسول خلات الرصاص,غسول خلات الرصاص,7.75,7.75,12.00,12.00,6,6,46.50,46.50,72.00,72.00,25.50,25.50,54.8,54.8
غسول ستارفيل,غسول ستارفيل,95.00,95.00,125.00,125.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,31.6,31.6
غطاء للعين,غطاء للعين,1.15,1.15,4.00,4.00,3,3,3.45,3.45,12.00,12.00,8.55,8.55,247.8,247.8
غلو اند لافلي,غلو اند لافلي,27.50,27.50,37.00,37.00,1,1,27.50,27.50,37.00,37.00,9.50,9.50,34.5,34.5
فا بليه مزيل,فا بليه مزيل,45.00,45.00,60.00,60.00,1,1,45.00,45.00,60.00,60.00,15.00,15.00,33.3,33.3
فاتيكا حمام كريم 225مجم,فاتيكا حمام كريم 225مجم,35.30,35.30,45.00,45.00,1,1,35.30,35.30,45.00,45.00,9.70,9.70,27.5,27.5
فاتيكا حمام كريم اكياس,فاتيكا حمام كريم اكياس,7.90,7.90,10.00,10.00,8,8,63.20,63.20,80.00,80.00,16.80,16.80,26.6,26.6
فاتيكا حمام كريم خروع صغير,فاتيكا حمام كريم خروع صغير,36.00,36.00,45.00,45.00,1,1,36.00,36.00,45.00,45.00,9.00,9.00,25.0,25.0
فاتيكا شامبو 190 مل,فاتيكا شامبو 190 مل,34.20,34.20,45.00,45.00,1,1,34.20,34.20,45.00,45.00,10.80,10.80,31.6,31.6
فاتيكا شامبو اسود 360 مل,فاتيكا شامبو اسود 360 مل,53.00,53.00,70.00,70.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,32.1,32.1
فاتيكا كريم 125  لوز,فاتيكا كريم 125  لوز,42.67,42.67,53.00,53.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,24.2,24.2
فاتيكا كريم 125 حناء ولوز,فاتيكا كريم 125 حناء ولوز,42.67,42.67,53.00,53.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,24.2,24.2
فاتيكا كريم 125 صبار و زيتون,فاتيكا كريم 125 صبار و زيتون,42.67,42.67,53.00,53.00,1,1,42.67,42.67,53.00,53.00,10.33,10.33,24.2,24.2
فاتيكا كريم 125 ليمون,فاتيكا كريم 125 ليمون,42.67,42.67,53.00,53.00,1,1,42.67,42.67,53.00,53.00,10.33,10.33,24.2,24.2
فاتيكا كريم 125جوز هند,فاتيكا كريم 125جوز هند,42.67,42.67,53.00,53.00,1,1,42.67,42.67,53.00,53.00,10.33,10.33,24.2,24.2
فاتيكا كريم 190  صبار وزيتون,فاتيكا كريم 190  صبار وزيتون,58.20,58.20,73.00,73.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,25.4,25.4
فاتيكا كريم 190 جوز هند,فاتيكا كريم 190 جوز هند,58.20,58.20,73.00,73.00,1,1,58.20,58.20,73.00,73.00,14.80,14.80,25.4,25.4
فاتيكا كريم 190 حناء ولوز,فاتيكا كريم 190 حناء ولوز,55.30,55.30,75.00,75.00,1,1,55.30,55.30,75.00,75.00,19.70,19.70,35.6,35.6
فاتيكا كريم 190 زبدة شيا,فاتيكا كريم 190 زبدة شيا,58.20,58.20,73.00,73.00,1,1,58.20,58.20,73.00,73.00,14.80,14.80,25.4,25.4
فاتيكا كريم الارجان  65ملل,فاتيكا كريم الارجان  65ملل,22.50,22.50,28.00,28.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,24.4,24.4
فاتيكا كريم الحبه السوداء  65ملل,فاتيكا كريم الحبه السوداء  65ملل,22.50,22.50,30.00,30.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,33.3,33.3
فاتيكا كريم اللوز  65ملل,فاتيكا كريم اللوز  65ملل,22.50,22.50,28.00,28.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,24.4,24.4
فاتيكا كريم الليمون و شجرة الشاي 65ملل,فاتيكا كريم الليمون و شجرة الشاي 65ملل,22.50,22.50,28.00,28.00,1,1,22.50,22.50,28.00,28.00,5.50,5.50,24.4,24.4
فاتيكا كريم بالصبار 65 مل,فاتيكا كريم بالصبار 65 مل,22.66,22.66,30.00,30.00,1,1,22.66,22.66,30.00,30.00,7.34,7.34,32.4,32.4
فاتيكا كريم جوز الهند 65ملل,فاتيكا كريم جوز الهند 65ملل,22.50,22.50,30.00,30.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,33.3,33.3
فاتيكا كريم زبدة الشيا 65ملل,فاتيكا كريم زبدة الشيا 65ملل,22.50,22.50,28.00,28.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,24.4,24.4
فاتيكا كريم لوز 190مل,فاتيكا كريم لوز 190مل,55.00,55.00,75.00,75.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,36.4,36.4
فاتيما كريم 125 ارجان,فاتيما كريم 125 ارجان,42.67,42.67,53.00,53.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,24.2,24.2
فاجيل مطهر بودره مهبلى,فاجيل مطهر بودره مهبلى,2.24,2.24,18.00,18.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,703.6,703.6
فاركو تليليام  شراب,فاركو تليليام  شراب,19.20,19.20,24.00,24.00,4,4,76.80,76.80,96.00,96.00,19.20,19.20,25.0,25.0
فاركوسين كريم,فاركوسين كريم,16.72,16.72,23.00,23.00,1,1,16.72,16.72,23.00,23.00,6.28,6.28,37.6,37.6
فاركوسين مرهم,فاركوسين مرهم,16.72,16.72,23.00,23.00,1,1,16.72,16.72,23.00,23.00,6.28,6.28,37.6,37.6
فاركوفيت ب 12,فاركوفيت ب 12,29.25,29.25,45.00,45.00,2,2,58.50,58.50,90.00,90.00,31.50,31.50,53.8,53.8
فاركولين محلول,فاركولين محلول,25.90,25.90,37.00,37.00,3,3,77.70,77.70,111.00,111.00,33.30,33.30,42.9,42.9
فاروتيتا شراب بالتوت,فاروتيتا شراب بالتوت,126.00,126.00,150.00,150.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,19.0,19.0
فاروفيجا 100مجم اقراص,فاروفيجا 100مجم اقراص,75.60,75.60,108.00,108.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,42.9,42.9
فاريو كريم,فاريو كريم,42.70,42.70,70.00,70.00,1,1,42.70,42.70,70.00,70.00,27.30,27.30,63.9,63.9
فازلين 20مل,فازلين 20مل,8.30,8.30,15.00,15.00,3,3,24.90,24.90,45.00,45.00,20.10,20.10,80.7,80.7
فازلين 50ملل,فازلين 50ملل,15.13,15.13,20.50,20.50,0,0,0.00,0.00,0.00,0.00,0.00,0.00,35.5,35.5
فازلين 70ملل,فازلين 70ملل,19.00,19.00,25.00,25.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,31.6,31.6
فازلين بيور 30 مل,فازلين بيور 30 مل,8.30,8.30,12.00,12.00,2,2,16.60,16.60,24.00,24.00,7.40,7.40,44.6,44.6
فازلين بيور 50 مل,فازلين بيور 50 مل,116.38,116.38,25.00,25.00,2,2,232.76,232.76,50.00,50.00,-182.76,-182.76,-78.5,-78.5
فازلين شفايف بيور,فازلين شفايف بيور,21.31,21.31,30.00,30.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,40.8,40.8
فازلين مرطب شفايف حجم وسط,فازلين مرطب شفايف حجم وسط,15.00,15.00,20.00,20.00,2,2,30.00,30.00,40.00,40.00,10.00,10.00,33.3,33.3
