sale_id,sale_date,medicine,unit_type,quantity,unit_price,subtotal,profit,purchase_price,unit_cost,unit_profit
111,2025-07-08 16:05,فليبوتون امبول,BOX,1,51.00,51.00,14.28,36.72,36.72,14.28
112,2025-07-08 16:28,ريفو اقراص,STRIP,1,7.05,7.05,1.76,105.75,5.29,1.76
113,2025-07-08 17:15,سيلك بلاستر حرير 2.5 سم,BOX,1,25.00,25.00,7.30,17.70,17.70,7.30
114,2025-07-08 17:46,اختبار حمل يو تست كارت,BOX,1,20.00,20.00,13.75,6.25,6.25,13.75
115,2025-07-08 18:57,بولي فريش قطره,BOX,1,63.00,63.00,13.86,49.14,49.14,13.86
116,2025-07-08 19:19,كيناكومب كريم صغير,BOX,1,36.00,36.00,12.60,23.40,23.40,12.60
117,2025-07-08 19:27,كيناكومب كريم صغير,BOX,1,36.00,36.00,12.60,23.40,23.40,12.60
118,2025-07-08 19:45,دورميفال كبسول,STRIP,1,15.00,15.00,4.05,21.90,10.95,4.05
118,2025-07-08 19:45,درامينكس 50مجم اقراص,STRIP,1,14.00,14.00,3.94,20.12,10.06,3.94
118,2025-07-08 19:45,تيرز جارد,BOX,1,30.00,30.00,6.00,24.00,24.00,6.00
119,2025-07-08 20:07,كيناكومب كريم صغير,BOX,1,36.00,36.00,12.60,23.40,23.40,12.60
120,2025-07-08 20:18,فيوسي كريم,BOX,1,58.00,58.00,-1.96,59.96,59.96,-1.96
121,2025-07-08 20:29,تيراميسين مرهم,BOX,1,28.00,28.00,2.00,26.00,26.00,2.00
122,2025-07-09 15:07,بيتادين 120 نيل مطهر,BOX,1,80.00,80.00,16.00,64.00,64.00,16.00
123,2025-07-09 15:08,قطن طبي الصياد 25 جم,BOX,1,6.00,6.00,3.20,2.80,2.80,3.20
124,2025-07-09 15:08,شاش المحله 5 سم,BOX,1,4.00,4.00,1.70,2.30,2.30,1.70
124,2025-07-09 15:08,شاش المحله 5 سم,BOX,1,4.00,4.00,1.70,2.30,2.30,1.70
125,2025-07-09 15:35,توسكان شراب,BOX,1,24.00,24.00,4.80,19.20,19.20,4.80
126,2025-07-09 15:48,فوار فروت,BOX,1,24.00,24.00,6.56,17.44,17.44,6.56
127,2025-07-09 17:26,ديمرا اقراص,STRIP,1,35.00,35.00,10.15,49.70,24.85,10.15
128,2025-07-09 17:34,فاستر جيل,BOX,1,32.00,32.00,2.00,30.00,30.00,2.00
129,2025-07-09 18:14,دوجوفيرتين اقراص,BOX,1,260.00,260.00,57.20,202.80,202.80,57.20
130,2025-07-09 19:03,فيموجيسال اقراص,BOX,1,76.00,76.00,20.20,55.80,55.80,20.20
131,2025-07-09 19:44,كولداتريكسي اقراص,STRIP,1,21.00,21.00,4.68,48.97,16.32,4.68
131,2025-07-09 19:44,ليبراكس,STRIP,1,16.00,16.00,5.75,30.75,10.25,5.75
132,2025-07-09 19:51,نايت كالم 3مجم,STRIP,1,35.00,35.00,9.27,77.20,25.73,9.27
133,2025-07-09 20:18,ديكساميثازون العمريه,STRIP,1,12.00,12.00,4.92,21.24,7.08,4.92
133,2025-07-09 20:18,ديكلوفين امبولات 75مجم,STRIP,1,12.00,12.00,3.72,24.84,8.28,3.72
134,2025-07-09 20:54,ليبراكس,STRIP,1,16.00,16.00,5.75,30.75,10.25,5.75
135,2025-07-09 20:56,ديرموفيت كريم موضعي 25جم,BOX,1,44.00,44.00,15.40,28.60,28.60,15.40
135,2025-07-09 20:56,افيل حقن,STRIP,1,9.50,9.50,2.53,41.84,6.97,2.53
135,2025-07-09 20:56,ديكساميثازون العمريه,STRIP,1,12.00,12.00,4.92,21.24,7.08,4.92
136,2025-07-10 08:30,ايراستابكس ترو 20/5/12.5مجم اقراص,STRIP,1,38.00,38.00,10.26,83.22,27.74,10.26
136,2025-07-10 08:30,نيفيلوب5مجم,STRIP,1,33.00,33.00,9.90,69.30,23.10,9.90
136,2025-07-10 08:30,جلوكوفانس 5/500مجم اقراص,BOX,1,74.00,74.00,19.99,54.01,54.01,19.99
137,2025-07-10 09:50,كيتوفان 50مجم,STRIP,1,15.00,15.00,5.40,28.80,9.60,5.40
137,2025-07-10 09:50,ديمرا اقراص,STRIP,1,35.00,35.00,10.15,49.70,24.85,10.15
138,2025-07-10 10:36,بانادول ادفانس,STRIP,1,23.00,23.00,5.75,69.00,17.25,5.75
139,2025-07-10 10:38,بانادول ادفانس,STRIP,1,23.00,23.00,5.75,69.00,17.25,5.75
140,2025-07-10 10:41,صابون ديتول لبشره ناعمة الملمس,BOX,1,37.00,37.00,7.50,29.50,29.50,7.50
140,2025-07-10 10:41,ايفونا جل كعب الغزال 250ملل,BOX,1,20.00,20.00,6.25,13.75,13.75,6.25
140,2025-07-10 10:41,سويت حرير,BOX,1,20.00,20.00,6.50,13.50,13.50,6.50
141,2025-07-10 11:35,فولبرازال40مجم,STRIP,1,84.00,84.00,16.80,134.40,67.20,16.80
142,2025-07-10 11:53,بلميكورت 0.5 مجم,STRIP,1,37.60,37.60,4.89,654.24,32.71,4.89
142,2025-07-10 11:53,بلميكورت 0.5 مجم,STRIP,2,37.60,75.20,9.78,654.24,32.71,4.89
143,2025-07-10 12:39,دوليبران 1000مجم,STRIP,1,16.00,16.00,5.28,32.16,10.72,5.28
